id;NumberOfModules;NumberOfFragments;EvaluationTime;ModuleConfiguration;
1;15;153;4;SearchAlg_DFS + Weighted + SearchAlg + Prog + Edges_Directed + Benchmark + Alg_Transpose + Alg_Number + Alg_MSTKruskal + Alg_Cycle + Alg_Connected + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
2;20;205;6;SearchAlg_SearchBase + Weighted + SearchAlg_BFS + SearchAlg + Prog + G_NoEdges#Weighted + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Edges_Directed + Benchmark + Alg_Transpose + Alg_Shortest + Alg_Number + Alg_MSTPrim + Alg_Cycle + ( Base -> GN_OnlyNeighbors -> G_NoEdges ) + ( GN_OnlyNeighbors -> G_NoEdges );
3;10;137;3;SearchAlg + Weighted + Benchmark + Alg_Transpose + Alg_MSTKruskal + Alg_Connected + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
4;9;109;2;SearchAlg_BFS + Weighted + SearchAlg + Prog + Alg_Shortest + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
5;15;173;4;SearchAlg_BFS + Weighted + SearchAlg + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Benchmark + Alg_MSTPrim + Alg_MSTKruskal + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base - GN_OnlyNeighbors -> GEN_Edges ) + ( GN_OnlyNeighbors -> GEN_Edges );
6;8;99;2;SearchAlg_DFS + Weighted + SearchAlg + Prog + G_NoEdges#Weighted + Alg_Shortest + ( Base -> G_NoEdges );
7;3;70;1;SearchAlg_BFS + Weighted + Base;
8;4;80;2;SearchAlg + Weighted + Base + Alg_Connected;
9;3;63;1;Edges_Undirected + Weighted + Base;
10;25;187;8;SearchAlg_BFS + Weighted + SearchAlg + Prog + G_NoEdges#Weighted#Edges_Undirected + G_NoEdges#Weighted + G_NoEdges#Edges_Undirected + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_MSTPrim + Alg_MSTKruskal + ( Edges_Directed -> Edges_Undirected ) + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> G_NoEdges -> GEN_Edges ) + ( G_NoEdges -> Edges_Undirected ) + ( G_NoEdges -> GEN_Edges );
