id;NumberOfModules;NumberOfFragments;EvaluationTime;GenerationTime;FullGenerationTime;ModuleConfiguration;
1;3;61;1;57;58;SearchAlg_DFS + Weighted + Base;
2;14;158;4;53;57;SearchAlg_SearchBase + Weighted + SearchAlg_DFS + SearchAlg_BFS + SearchAlg + Prog + Benchmark + Base + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_MSTPrim + Alg_MSTKruskal + Alg_Connected;
3;16;147;3;445;448;SearchAlg + Weighted + Prog + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Edges_Directed + Alg_Shortest + Alg_Cycle + Alg_Connected + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base - GN_OnlyNeighbors -> GEN_Edges ) + ( GN_OnlyNeighbors -> GEN_Edges );
4;25;196;5;38;43;SearchAlg_DFS + Weighted + SearchAlg + Prog + G_NoEdges#Weighted#Edges_Undirected + G_NoEdges#Weighted + G_NoEdges#Edges_Undirected + GN_OnlyNeighbors#Weighted + GN_OnlyNeighbors#Weighted + Benchmark + Alg_Number + Alg_MSTKruskal + ( Edges_Directed -> Edges_Undirected ) + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GN_OnlyNeighbors - G_NoEdges -> GEN_Edges ) + ( G_NoEdges -> Edges_Undirected ) + ( GN_OnlyNeighbors -> G_NoEdges -> GEN_Edges );
5;24;179;5;28;33;SearchAlg + Weighted + Prog + G_NoEdges#Weighted#Edges_Undirected + G_NoEdges#Weighted + G_NoEdges#Edges_Undirected + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_Shortest + Alg_Number + Alg_MSTPrim + ( Edges_Directed -> Edges_Undirected ) + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> G_NoEdges -> GEN_Edges ) + ( G_NoEdges -> Edges_Undirected ) + ( G_NoEdges -> GEN_Edges );
6;13;153;2;33;35;SearchAlg_SearchBase + Weighted + SearchAlg_DFS + SearchAlg_BFS + SearchAlg + Edges_Undirected + Benchmark + Base + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_MSTKruskal + Alg_Connected;
7;23;173;4;29;33;SearchAlg_DFS + Weighted + SearchAlg + G_NoEdges#Weighted#Edges_Undirected + G_NoEdges#Weighted + G_NoEdges#Edges_Undirected + Benchmark + Alg_Shortest + Alg_Number + Alg_MSTPrim + Alg_MSTKruskal + Alg_Cycle + ( Edges_Directed -> Edges_Undirected ) + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base - G_NoEdges -> GEN_Edges ) + ( G_NoEdges -> Edges_Undirected ) + ( G_NoEdges -> GEN_Edges );
8;18;172;5;23;28;SearchAlg_BFS + Weighted + SearchAlg + G_NoEdges#Weighted#Edges_Undirected + G_NoEdges#Weighted + G_NoEdges#Edges_Undirected + Benchmark + Alg_MSTPrim + Alg_Connected + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> G_NoEdges -> GEN_Edges ) + ( G_NoEdges -> Edges_Undirected ) + ( G_NoEdges -> GEN_Edges );
9;19;178;3;17;20;SearchAlg_SearchBase + Weighted + SearchAlg_DFS + SearchAlg_BFS + SearchAlg + Prog + G_NoEdges#Weighted#Edges_Undirected + G_NoEdges#Weighted + G_NoEdges#Edges_Undirected + Benchmark + Alg_Transpose + Alg_StronglyConnected#Benchmark + Alg_StronglyConnected + Alg_MSTKruskal + Alg_Cycle + ( Base -> G_NoEdges ) + ( G_NoEdges -> Edges_Undirected );
10;11;131;2;5;7;SearchAlg + Weighted + Alg_Transpose + Alg_StronglyConnected + Alg_Shortest + Alg_Number + Alg_Connected + ( SearchAlg_SearchBase -> GEN_Edges ) + ( Base -> GEN_Edges );
