no;methodName;statements;involvedModules;fragments;visibility;baseSplit;fineGrained;nested;
1;LICENSE();0;0;0;invisible;1;0;0;
2;main(String[]):void;0;0;0;invisible;1;0;0;
3;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
4;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
5;getObjects():Enumeration;0;0;0;invisible;1;0;0;
6;getObjectAt(int):DEREncodable;0;0;0;invisible;1;0;0;
7;size():int;0;0;0;invisible;1;0;0;
8;parser():ASN1SetParser;0;0;0;invisible;1;0;0;
9;hashCode():int;0;0;0;invisible;1;0;0;
10;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
11;lessThanOrEqual(byte[],byte[]):boolean;0;0;0;invisible;1;0;0;
12;getEncoded(DEREncodable):byte[];0;0;0;invisible;1;0;0;
13;sort():void;0;0;0;invisible;1;0;0;
14;addObject(DEREncodable):void;0;0;0;invisible;1;0;0;
15;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
16;toString():String;0;0;0;invisible;1;0;0;
17;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
18;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
19;hashCode():int;0;0;0;invisible;1;0;0;
20;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
21;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
22;toString():String;0;0;0;invisible;1;0;0;
23;toASN1Object():DERObject;0;0;0;invisible;1;0;0;
24;hashCode():int;0;0;0;invisible;1;0;0;
25;equals(Object):boolean;0;0;0;invisible;1;0;0;
26;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
27;equals(Object):boolean;0;0;0;invisible;1;0;0;
28;hashCode():int;0;0;0;invisible;1;0;0;
29;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
30;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
31;isTrue():boolean;0;0;0;invisible;1;0;0;
32;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
33;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
34;hashCode():int;0;0;0;invisible;1;0;0;
35;toString():String;0;0;0;invisible;1;0;0;
36;getValue():BigInteger;0;0;0;invisible;1;0;0;
37;getPositiveValue():BigInteger;0;0;0;invisible;1;0;0;
38;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
39;hashCode():int;0;0;0;invisible;1;0;0;
40;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
41;toString():String;0;0;0;invisible;1;0;0;
42;getTime():String;0;0;0;invisible;1;0;0;
43;getAdjustedTime():String;0;0;0;invisible;1;0;0;
44;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
45;equals(Object):boolean;0;0;0;invisible;1;0;0;
46;hashCode():int;0;0;0;invisible;1;0;0;
47;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
48;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
49;getObjects():Enumeration;0;0;0;invisible;1;0;0;
50;parser():ASN1SequenceParser;0;0;0;invisible;1;0;0;
51;getObjectAt(int):DEREncodable;0;0;0;invisible;1;0;0;
52;size():int;0;0;0;invisible;1;0;0;
53;hashCode():int;0;0;0;invisible;1;0;0;
54;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
55;addObject(DEREncodable):void;0;0;0;invisible;1;0;0;
56;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
57;toString():String;0;0;0;invisible;1;0;0;
58;getRawOutputStream():OutputStream;0;0;0;invisible;1;0;0;
59;writeHdr(int):void;0;0;0;invisible;1;0;0;
60;writeBERHeader(int):void;0;0;0;invisible;1;0;0;
61;writeBERBody(InputStream):void;0;0;0;invisible;1;0;0;
62;writeBEREnd():void;0;0;0;invisible;1;0;0;
63;readObject():DEREncodable;0;0;0;invisible;1;0;0;
64;getDERObject():DERObject;0;0;0;invisible;1;0;0;
65;getString():String;0;0;0;invisible;1;0;0;
66;toString():String;0;0;0;invisible;1;0;0;
67;hashCode():int;0;0;0;invisible;1;0;0;
68;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
69;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
70;getBytes():byte[];0;0;0;invisible;1;0;0;
71;getPadBits():int;0;0;0;invisible;1;0;0;
72;intValue():int;0;0;0;invisible;1;0;0;
73;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
74;hashCode():int;0;0;0;invisible;1;0;0;
75;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
76;getString():String;0;0;0;invisible;1;0;0;
77;toString():String;0;0;0;invisible;1;0;0;
78;writeLength(OutputStream,int):void;0;0;0;invisible;1;0;0;
79;writeDEREncoded(OutputStream,int,byte[]):void;0;0;0;invisible;1;0;0;
80;writeDEREncoded(int,byte[]):void;0;0;0;invisible;1;0;0;
81;writeDEREncoded(OutputStream,int,InputStream):void;0;0;0;invisible;1;0;0;
82;getString():String;0;0;0;invisible;1;0;0;
83;toString():String;0;0;0;invisible;1;0;0;
84;getOctets():byte[];0;0;0;invisible;1;0;0;
85;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
86;hashCode():int;0;0;0;invisible;1;0;0;
87;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
88;readObject():DEREncodable;0;0;0;invisible;1;0;0;
89;getDERObject():DERObject;0;0;0;invisible;1;0;0;
90;getString():String;0;0;0;invisible;1;0;0;
91;toString():String;0;0;0;invisible;1;0;0;
92;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
93;getOctets():byte[];0;0;0;invisible;1;0;0;
94;asn1Equals(DERObject):boolean;0;0;0;invisible;1;0;0;
95;hashCode():int;0;0;0;invisible;1;0;0;
96;hasMoreTokens():boolean;0;0;0;invisible;1;0;0;
97;nextToken():String;0;0;0;invisible;1;0;0;
98;getEncoded():byte[];0;0;0;invisible;1;0;0;
99;getEncoded(String):byte[];0;0;0;invisible;1;0;0;
100;getDEREncoded():byte[];0;0;0;invisible;1;0;0;
101;hashCode():int;0;0;0;invisible;1;0;0;
102;equals(Object):boolean;0;0;0;invisible;1;0;0;
103;getDERObject():DERObject;0;0;0;invisible;1;0;0;
104;toASN1Object():DERObject;0;0;0;invisible;1;0;0;
105;getRawOutputStream():OutputStream;0;0;0;invisible;1;0;0;
106;getValue():BigInteger;0;0;0;invisible;1;0;0;
107;encode(DEROutputStream):void;0;0;0;invisible;1;0;0;
