no;methodName;statements;involvedModules;fragments;visibility;baseSplit;fineGrained;nested;
1;addFeatures():void;10;5;5;visible;
2;addLanguageHighlight():void;11;4;5;visible;
4;addSourceHighlighting(StyledTextExtended):void;14;1;2;visible;
6;getStyleRanges(FileExtension,string,int):StyleRange[];18;1;2;visible;
7;previousChar(char):boolean;4;1;2;visible;
8;getFileExtension(string):string;7;1;2;visible;
9;addHighlightCurrentLine():void;19;1;2;visible;
13;toggleHighlightCurrentLine():void;14;1;2;visible;
14;addHighlightListener(StyledTextExtended):void;3;1;2;visible;
16;performHighlightCurrentLine():void;3;1;2;visible;
17;highlightCurrentLine():void;4;1;2;visible;
18;setWhiteBackground():void;3;1;2;visible;
19;isHighlightCurrentLine():boolean;2;1;2;visible;
20;setHighlightCurrentLine(boolean):void;2;1;2;visible;
21;addLineWrap():void;17;1;2;visible;
25;isWordWrap():boolean;2;1;2;visible;
26;setWordWrap(boolean):void;2;1;2;visible;
27;toggleWordWrap():void;5;1;2;visible;
28;addStatistics():void;11;1;2;visible;
30;addListener(StyledTextExtended):void;3;1;2;visible;
32;updateStatus():void;9;1;2;visible;
33;getText():TextField;6;3;3;visible;
34;undo():void;15;1;1;visible;
35;showAboutDialog():void;11;1;1;visible;
36;saveChangesDialog(string):boolean;16;1;1;visible;
37;addAllModifyListener(Map<Integer,Listener[]>):void;4;1;1;visible;
38;removeAllModifyListener():Map<Integer,Listener[]>;12;1;1;visible;
39;getLastDirectory():string;2;1;1;visible;
40;setLastDirectory(string):void;2;1;1;visible;
41;getShell():Shell;2;1;1;visible;
42;getCSharpFileExtension():FileExtension;6;1;2;visible;
43;getJavaFileExtension():FileExtension;6;1;2;visible;
44;getSqlFileExtension():FileExtension;6;1;2;visible;
45;createMenuBar(Menu):void;1;1;1;visible;
46;getCurrentStyledTextExtended():StyledTextExtended;1;1;1;visible;
47;saveText():boolean;1;1;1;visible;
48;getStyledTextExtended():List<StyledTextExtended>;1;1;1;visible;
49;addEventListener(LoadEventListener):void;1;1;1;visible;
50;removeEventListener(LoadEventListener):void;1;1;1;visible;
51;removeAllListener(StyledText):void;6;1;1;visible;
52;getStart():int;2;1;1;visible;
53;getLength():int;2;1;1;visible;
54;getReplacedText():string;2;1;1;visible;
55;getKeywords():string[];2;1;1;visible;
56;setKeywords(string[]):void;2;1;1;visible;
57;getStyleRange():StyleRange;2;1;1;visible;
58;setStyleRange(StyleRange):void;2;1;1;visible;
59;addEventListener(LoadEventListener):void;2;1;1;visible;
60;removeEventListener(LoadEventListener):void;2;1;1;visible;
61;fireEvent(StyledTextExtended):void;4;1;1;visible;
62;isUnsaved():boolean;2;1;1;visible;
63;setUnsaved(boolean):void;2;1;1;visible;
64;getChanges():Stack<TextChange>;2;1;1;visible;
65;setChanges(Stack<TextChange>):void;2;1;1;visible;
66;getFile():File;2;1;1;visible;
67;setFile(File):void;2;1;1;visible;
68;getTitel():string;2;1;1;visible;
69;getTitel(boolean):string;6;1;1;visible;
71;createMenuBar(Menu):void;96;1;1;visible;
82;getStyledTextExtended():List<StyledTextExtended>;4;1;1;visible;
83;getCurrentStyledTextExtended():StyledTextExtended;2;1;1;visible;
84;saveText():boolean;19;1;1;visible;
85;createStyledTextExtended(StyledTextExtended):StyledTextExtended;10;1;1;visible;
86;addListener(StyledTextExtended):void;10;1;1;visible;
89;loadText(string):boolean;25;1;1;visible;
90;setTitle():void;3;1;1;visible;
91;addEventListener(LoadEventListener):void;2;1;1;visible;
92;removeEventListener(LoadEventListener):void;2;1;1;visible;
96;addListener(StyledTextExtended):void;9;1;1;visible;
99;createMenuBar(Menu):void;87;1;1;visible;
111;getCurrentStyledTextExtended():StyledTextExtended;4;1;1;visible;
112;getStyledTextExtended():List<StyledTextExtended>;5;1;1;visible;
113;saveText():boolean;20;1;1;visible;
114;createStyledTextExtended():StyledTextExtended;6;1;1;visible;
115;getTab():CTabItem;5;1;1;visible;
116;loadText(string):boolean;25;1;1;visible;
117;newFile():StyledTextExtended;7;1;1;visible;
118;addEventListener(LoadEventListener):void;2;1;1;visible;
119;removeEventListener(LoadEventListener):void;2;1;1;visible;
120;SimpleTextEditor();14;1;1;visible;
121;TextChange(int,int,string);4;1;1;visible;
122;FileExtension(string[],StyleRange);4;1;1;visible;
123;LoadEvent(Object);2;1;1;visible;
124;StyledTextExtended(Composite,int);2;1;1;visible;
125;TextFieldSingle(SimpleTextEditor);8;1;1;visible;
126;TextFieldMultiple(SimpleTextEditor);25;1;1;visible;
127;main(string[]):void;2;1;1;visible;
